x t
0 0
0.000900901 0.01001
0.00180172 0.02002
0.00270239 0.03003
0.00360281 0.04004
0.00450292 0.0500501
0.00540263 0.0600601
0.00630186 0.0700701
0.00720054 0.0800801
0.00809859 0.0900901
0.00899592 0.1001
0.00989246 0.11011
0.0107881 0.12012
0.0116828 0.13013
0.0125765 0.14014
0.0134691 0.15015
0.0143605 0.16016
0.0152506 0.17017
0.0161394 0.18018
0.0170268 0.19019
0.0179126 0.2002
0.0187969 0.21021
0.0196796 0.22022
0.0205604 0.23023
0.0214395 0.24024
0.0223167 0.25025
0.0231919 0.26026
0.0240651 0.27027
0.0249362 0.28028
0.0258051 0.29029
0.0266716 0.3003
0.0275359 0.31031
0.0283977 0.32032
0.029257 0.33033
0.0301137 0.34034
0.0309678 0.35035
0.0318191 0.36036
0.0326677 0.37037
0.0335133 0.38038
0.034356 0.39039
0.0351957 0.4004
0.0360322 0.41041
0.0368656 0.42042
0.0376958 0.43043
0.0385226 0.44044
0.039346 0.45045
0.0401659 0.46046
0.0409823 0.47047
0.0417951 0.48048
0.0426042 0.49049
0.0434095 0.500501
0.044211 0.510511
0.0450086 0.520521
0.0458022 0.530531
0.0465918 0.540541
0.0473773 0.550551
0.0481586 0.560561
0.0489356 0.570571
0.0497083 0.580581
0.0504767 0.590591
0.0512405 0.600601
0.0519999 0.610611
0.0527546 0.620621
0.0535047 0.630631
0.0542501 0.640641
0.0549906 0.650651
0.0557263 0.660661
0.0564571 0.670671
0.0571829 0.680681
0.0579037 0.690691
0.0586193 0.700701
0.0593297 0.710711
0.0600349 0.720721
0.0607348 0.730731
0.0614293 0.740741
0.0621184 0.750751
0.062802 0.760761
0.0634801 0.770771
0.0641525 0.780781
0.0648193 0.790791
0.0654803 0.800801
0.0661355 0.810811
0.0667849 0.820821
0.0674284 0.830831
0.0680659 0.840841
0.0686973 0.850851
0.0693227 0.860861
0.069942 0.870871
0.0705551 0.880881
0.0711619 0.890891
0.0717624 0.900901
0.0723566 0.910911
0.0729443 0.920921
0.0735256 0.930931
0.0741004 0.940941
0.0746686 0.950951
0.0752303 0.960961
0.0757852 0.970971
0.0763334 0.980981
0.0768749 0.990991
0.0774096 1.001
0.0779374 1.01101
0.0784583 1.02102
0.0789722 1.03103
0.0794791 1.04104
0.079979 1.05105
0.0804718 1.06106
0.0809575 1.07107
0.081436 1.08108
0.0819073 1.09109
0.0823713 1.1011
0.082828 1.11111
0.0832773 1.12112
0.0837193 1.13113
0.0841538 1.14114
0.0845809 1.15115
0.0850005 1.16116
0.0854125 1.17117
0.0858169 1.18118
0.0862138 1.19119
0.0866029 1.2012
0.0869844 1.21121
0.0873582 1.22122
0.0877242 1.23123
0.0880825 1.24124
0.0884329 1.25125
0.0887754 1.26126
0.0891101 1.27127
0.0894369 1.28128
0.0897557 1.29129
0.0900666 1.3013
0.0903694 1.31131
0.0906643 1.32132
0.0909511 1.33133
0.0912298 1.34134
0.0915004 1.35135
0.0917628 1.36136
0.0920171 1.37137
0.0922633 1.38138
0.0925012 1.39139
0.092731 1.4014
0.0929525 1.41141
0.0931657 1.42142
0.0933706 1.43143
0.0935673 1.44144
0.0937556 1.45145
0.0939357 1.46146
0.0941073 1.47147
0.0942706 1.48148
0.0944255 1.49149
0.0945721 1.5015
0.0947102 1.51151
0.0948399 1.52152
0.0949612 1.53153
0.095074 1.54154
0.0951784 1.55155
0.0952743 1.56156
0.0953618 1.57157
0.0954407 1.58158
0.0955112 1.59159
0.0955732 1.6016
0.0956267 1.61161
0.0956717 1.62162
0.0957082 1.63163
0.0957362 1.64164
0.0957557 1.65165
0.0957667 1.66166
0.0957691 1.67167
0.0957631 1.68168
0.0957485 1.69169
0.0957254 1.7017
0.0956938 1.71171
0.0956537 1.72172
0.0956051 1.73173
0.095548 1.74174
0.0954824 1.75175
0.0954083 1.76176
0.0953258 1.77177
0.0952347 1.78178
0.0951352 1.79179
0.0950273 1.8018
0.0949108 1.81181
0.094786 1.82182
0.0946527 1.83183
0.094511 1.84184
0.094361 1.85185
0.0942025 1.86186
0.0940357 1.87187
0.0938605 1.88188
0.0936769 1.89189
0.0934851 1.9019
0.0932849 1.91191
0.0930764 1.92192
0.0928597 1.93193
0.0926347 1.94194
0.0924015 1.95195
0.0921601 1.96196
0.0919105 1.97197
0.0916527 1.98198
0.0913868 1.99199
0.0911127 2.002
0.0908306 2.01201
0.0905404 2.02202
0.0902422 2.03203
0.0899359 2.04204
0.0896217 2.05205
0.0892995 2.06206
0.0889694 2.07207
0.0886314 2.08208
0.0882855 2.09209
0.0879317 2.1021
0.0875702 2.11211
0.0872009 2.12212
0.0868239 2.13213
0.0864391 2.14214
0.0860467 2.15215
0.0856466 2.16216
0.085239 2.17217
