x t
0 0
9.0009e-05 0.0010001
0.000180018 0.0020002
0.000270027 0.0030003
0.000360035 0.0040004
0.000450043 0.0050005
0.000540051 0.0060006
0.000630058 0.0070007
0.000720064 0.0080008
0.00081007 0.0090009
0.000900074 0.010001
0.000990078 0.0110011
0.00108008 0.0120012
0.00117008 0.0130013
0.00126008 0.0140014
0.00135008 0.0150015
0.00144008 0.0160016
0.00153008 0.0170017
0.00162007 0.0180018
0.00171007 0.0190019
0.00180006 0.020002
0.00189005 0.0210021
0.00198004 0.0220022
0.00207003 0.0230023
0.00216001 0.0240024
0.00225 0.0250025
0.00233998 0.0260026
0.00242996 0.0270027
0.00251994 0.0280028
0.00260991 0.0290029
0.00269988 0.030003
0.00278985 0.0310031
0.00287982 0.0320032
0.00296978 0.0330033
0.00305975 0.0340034
0.00314971 0.0350035
0.00323966 0.0360036
0.00332962 0.0370037
0.00341957 0.0380038
0.00350951 0.0390039
0.00359946 0.040004
0.0036894 0.0410041
0.00377934 0.0420042
0.00386927 0.0430043
0.0039592 0.0440044
0.00404913 0.0450045
0.00413905 0.0460046
0.00422897 0.0470047
0.00431889 0.0480048
0.0044088 0.0490049
0.00449871 0.050005
0.00458861 0.0510051
0.00467851 0.0520052
0.00476841 0.0530053
0.0048583 0.0540054
0.00494819 0.0550055
0.00503807 0.0560056
0.00512795 0.0570057
0.00521782 0.0580058
0.00530769 0.0590059
0.00539756 0.060006
0.00548742 0.0610061
0.00557727 0.0620062
0.00566712 0.0630063
0.00575697 0.0640064
0.00584681 0.0650065
0.00593664 0.0660066
0.00602647 0.0670067
0.00611629 0.0680068
0.00620611 0.0690069
0.00629592 0.070007
0.00638573 0.0710071
0.00647553 0.0720072
0.00656533 0.0730073
0.00665512 0.0740074
0.0067449 0.0750075
0.00683468 0.0760076
0.00692445 0.0770077
0.00701422 0.0780078
0.00710397 0.0790079
0.00719373 0.080008
0.00728347 0.0810081
0.00737321 0.0820082
0.00746295 0.0830083
0.00755267 0.0840084
0.00764239 0.0850085
0.00773211 0.0860086
0.00782181 0.0870087
0.00791151 0.0880088
0.00800121 0.0890089
0.00809089 0.090009
0.00818057 0.0910091
0.00827024 0.0920092
0.0083599 0.0930093
0.00844956 0.0940094
0.00853921 0.0950095
0.00862885 0.0960096
0.00871848 0.0970097
0.00880811 0.0980098
0.00889772 0.0990099
0.00898733 0.10001
0.00907694 0.10101
0.00916653 0.10201
0.00925612 0.10301
0.00934569 0.10401
0.00943526 0.105011
0.00952482 0.106011
0.00961438 0.107011
0.00970392 0.108011
0.00979345 0.109011
0.00988298 0.110011
0.0099725 0.111011
0.010062 0.112011
0.0101515 0.113011
0.010241 0.114011
0.0103305 0.115012
0.01042 0.116012
0.0105094 0.117012
0.0105989 0.118012
0.0106883 0.119012
0.0107777 0.120012
0.0108672 0.121012
0.0109566 0.122012
0.011046 0.123012
0.0111354 0.124012
0.0112248 0.125013
0.0113142 0.126013
0.0114035 0.127013
0.0114929 0.128013
0.0115822 0.129013
0.0116716 0.130013
0.0117609 0.131013
0.0118502 0.132013
0.0119395 0.133013
0.0120288 0.134013
0.0121181 0.135014
0.0122074 0.136014
0.0122966 0.137014
0.0123859 0.138014
0.0124751 0.139014
0.0125643 0.140014
0.0126536 0.141014
0.0127428 0.142014
0.012832 0.143014
0.0129211 0.144014
0.0130103 0.145015
0.0130995 0.146015
0.0131886 0.147015
0.0132778 0.148015
0.0133669 0.149015
0.013456 0.150015
0.0135451 0.151015
0.0136342 0.152015
0.0137233 0.153015
0.0138123 0.154015
0.0139014 0.155016
0.0139904 0.156016
0.0140795 0.157016
0.0141685 0.158016
0.0142575 0.159016
0.0143465 0.160016
0.0144355 0.161016
0.0145244 0.162016
0.0146134 0.163016
0.0147023 0.164016
0.0147912 0.165017
0.0148802 0.166017
0.0149691 0.167017
0.015058 0.168017
0.0151468 0.169017
0.0152357 0.170017
0.0153245 0.171017
0.0154134 0.172017
0.0155022 0.173017
0.015591 0.174017
0.0156798 0.175018
0.0157686 0.176018
0.0158573 0.177018
0.0159461 0.178018
0.0160348 0.179018
0.0161235 0.180018
0.0162123 0.181018
0.0163009 0.182018
0.0163896 0.183018
0.0164783 0.184018
0.0165669 0.185019
0.0166556 0.186019
