v t
0.09 0
0.0899921 0.01001
0.0899762 0.02002
0.0899524 0.03003
0.0899207 0.04004
0.0898811 0.0500501
0.0898336 0.0600601
0.0897781 0.0700701
0.0897147 0.0800801
0.0896435 0.0900901
0.0895643 0.1001
0.0894772 0.11011
0.0893823 0.12012
0.0892795 0.13013
0.0891688 0.14014
0.0890502 0.15015
0.0889238 0.16016
0.0887896 0.17017
0.0886475 0.18018
0.0884976 0.19019
0.08834 0.2002
0.0881745 0.21021
0.0880012 0.22022
0.0878202 0.23023
0.0876315 0.24024
0.087435 0.25025
0.0872308 0.26026
0.0870189 0.27027
0.0867993 0.28028
0.0865721 0.29029
0.0863372 0.3003
0.0860947 0.31031
0.0858446 0.32032
0.0855869 0.33033
0.0853217 0.34034
0.0850489 0.35035
0.0847686 0.36036
0.0844808 0.37037
0.0841856 0.38038
0.0838829 0.39039
0.0835728 0.4004
0.0832553 0.41041
0.0829304 0.42042
0.0825982 0.43043
0.0822587 0.44044
0.0819119 0.45045
0.0815579 0.46046
0.0811967 0.47047
0.0808282 0.48048
0.0804526 0.49049
0.0800699 0.500501
0.0796801 0.510511
0.0792832 0.520521
0.0788793 0.530531
0.0784684 0.540541
0.0780505 0.550551
0.0776258 0.560561
0.0771941 0.570571
0.0767556 0.580581
0.0763102 0.590591
0.0758581 0.600601
0.0753993 0.610611
0.0749338 0.620621
0.0744616 0.630631
0.0739828 0.640641
0.0734974 0.650651
0.0730055 0.660661
0.0725071 0.670671
0.0720022 0.680681
0.0714909 0.690691
0.0709733 0.700701
0.0704494 0.710711
0.0699192 0.720721
0.0693827 0.730731
0.0688401 0.740741
0.0682913 0.750751
0.0677365 0.760761
0.0671756 0.770771
0.0666087 0.780781
0.0660359 0.790791
0.0654572 0.800801
0.0648727 0.810811
0.0642823 0.820821
0.0636863 0.830831
0.0630845 0.840841
0.0624771 0.850851
0.0618641 0.860861
0.0612456 0.870871
0.0606216 0.880881
0.0599922 0.890891
0.0593575 0.900901
0.0587174 0.910911
0.0580721 0.920921
0.0574215 0.930931
0.0567658 0.940941
0.0561051 0.950951
0.0554393 0.960961
0.0547685 0.970971
0.0540929 0.980981
0.0534124 0.990991
0.0527271 1.001
0.0520371 1.01101
0.0513424 1.02102
0.0506431 1.03103
0.0499392 1.04104
0.0492309 1.05105
0.0485181 1.06106
0.047801 1.07107
0.0470796 1.08108
0.046354 1.09109
0.0456242 1.1011
0.0448903 1.11111
0.0441523 1.12112
0.0434104 1.13113
0.0426646 1.14114
0.0419149 1.15115
0.0411615 1.16116
0.0404044 1.17117
0.0396436 1.18118
0.0388793 1.19119
0.0381114 1.2012
0.0373401 1.21121
0.0365655 1.22122
0.0357876 1.23123
0.0350064 1.24124
0.0342221 1.25125
0.0334347 1.26126
0.0326442 1.27127
0.0318509 1.28128
0.0310546 1.29129
0.0302556 1.3013
0.0294538 1.31131
0.0286494 1.32132
0.0278424 1.33133
0.0270328 1.34134
0.0262209 1.35135
0.0254065 1.36136
0.0245899 1.37137
0.023771 1.38138
0.02295 1.39139
0.0221269 1.4014
0.0213019 1.41141
0.0204749 1.42142
0.019646 1.43143
0.0188154 1.44144
0.017983 1.45145
0.0171491 1.46146
0.0163136 1.47147
0.0154766 1.48148
0.0146382 1.49149
0.0137985 1.5015
0.0129575 1.51151
0.0121154 1.52152
0.0112721 1.53153
0.0104279 1.54154
0.0095827 1.55155
0.00873664 1.56156
0.00788979 1.57157
0.00704223 1.58158
0.00619403 1.59159
0.00534526 1.6016
0.00449602 1.61161
0.00364636 1.62162
0.00279638 1.63163
0.00194614 1.64164
0.00109573 1.65165
0.000245217 1.66166
-0.000605318 1.67167
-0.0014558 1.68168
-0.00230615 1.69169
-0.00315628 1.7017
-0.00400614 1.71171
-0.00485563 1.72172
-0.00570468 1.73173
-0.00655321 1.74174
-0.00740116 1.75175
-0.00824843 1.76176
-0.00909495 1.77177
-0.00994065 1.78178
-0.0107855 1.79179
-0.0116293 1.8018
-0.0124721 1.81181
-0.0133137 1.82182
-0.0141541 1.83183
-0.0149933 1.84184
-0.0158311 1.85185
-0.0166675 1.86186
-0.0175023 1.87187
-0.0183356 1.88188
-0.0191672 1.89189
-0.0199971 1.9019
-0.0208252 1.91191
-0.0216514 1.92192
-0.0224757 1.93193
-0.0232979 1.94194
-0.024118 1.95195
-0.0249359 1.96196
-0.0257516 1.97197
-0.0265649 1.98198
