v t
0.09 0
0.09 0.01001
0.09 0.02002
0.0899921 0.03003
0.0899762 0.04004
0.0899524 0.0500501
0.0899207 0.0600601
0.089881 0.0700701
0.0898334 0.0800801
0.0897779 0.0900901
0.0897145 0.1001
0.0896432 0.11011
0.0895639 0.12012
0.0894768 0.13013
0.0893817 0.14014
0.0892788 0.15015
0.0891679 0.16016
0.0890492 0.17017
0.0889227 0.18018
0.0887883 0.19019
0.088646 0.2002
0.0884959 0.21021
0.088338 0.22022
0.0881723 0.23023
0.0879988 0.24024
0.0878175 0.25025
0.0876284 0.26026
0.0874316 0.27027
0.0872271 0.28028
0.0870148 0.29029
0.0867948 0.3003
0.0865672 0.31031
0.0863319 0.32032
0.0860889 0.33033
0.0858383 0.34034
0.0855801 0.35035
0.0853143 0.36036
0.085041 0.37037
0.0847601 0.38038
0.0844716 0.39039
0.0841757 0.4004
0.0838724 0.41041
0.0835615 0.42042
0.0832433 0.43043
0.0829176 0.44044
0.0825846 0.45045
0.0822443 0.46046
0.0818966 0.47047
0.0815417 0.48048
0.0811795 0.49049
0.08081 0.500501
0.0804334 0.510511
0.0800496 0.520521
0.0796587 0.530531
0.0792607 0.540541
0.0788557 0.550551
0.0784435 0.560561
0.0780244 0.570571
0.0775984 0.580581
0.0771654 0.590591
0.0767255 0.600601
0.0762788 0.610611
0.0758252 0.620621
0.0753649 0.630631
0.0748978 0.640641
0.0744241 0.650651
0.0739437 0.660661
0.0734566 0.670671
0.072963 0.680681
0.0724628 0.690691
0.0719562 0.700701
0.0714431 0.710711
0.0709236 0.720721
0.0703977 0.730731
0.0698655 0.740741
0.0693271 0.750751
0.0687824 0.760761
0.0682315 0.770771
0.0676745 0.780781
0.0671114 0.790791
0.0665423 0.800801
0.0659672 0.810811
0.0653861 0.820821
0.0647991 0.830831
0.0642064 0.840841
0.0636078 0.850851
0.0630035 0.860861
0.0623935 0.870871
0.0617778 0.880881
0.0611566 0.890891
0.0605299 0.900901
0.0598976 0.910911
0.05926 0.920921
0.058617 0.930931
0.0579687 0.940941
0.0573152 0.950951
0.0566564 0.960961
0.0559925 0.970971
0.0553236 0.980981
0.0546496 0.990991
0.0539706 1.001
0.0532868 1.01101
0.0525981 1.02102
0.0519046 1.03103
0.0512064 1.04104
0.0505036 1.05105
0.0497961 1.06106
0.0490841 1.07107
0.0483677 1.08108
0.0476468 1.09109
0.0469216 1.1011
0.046192 1.11111
0.0454583 1.12112
0.0447204 1.13113
0.0439784 1.14114
0.0432324 1.15115
0.0424825 1.16116
0.0417286 1.17117
0.0409709 1.18118
0.0402095 1.19119
0.0394444 1.2012
0.0386756 1.21121
0.0379033 1.22122
0.0371275 1.23123
0.0363483 1.24124
0.0355657 1.25125
0.0347799 1.26126
0.0339908 1.27127
0.0331986 1.28128
0.0324033 1.29129
0.0316051 1.3013
0.0308039 1.31131
0.0299999 1.32132
0.029193 1.33133
0.0283835 1.34134
0.0275713 1.35135
0.0267566 1.36136
0.0259394 1.37137
0.0251197 1.38138
0.0242977 1.39139
0.0234735 1.4014
0.022647 1.41141
0.0218184 1.42142
0.0209878 1.43143
0.0201552 1.44144
0.0193207 1.45145
0.0184844 1.46146
0.0176463 1.47147
0.0168065 1.48148
0.0159652 1.49149
0.0151223 1.5015
0.014278 1.51151
0.0134323 1.52152
