v t
0.09 0
0.0891927 0.10101
0.0875848 0.20202
0.0851902 0.30303
0.0820291 0.40404
0.0781288 0.505051
0.0735229 0.606061
0.0682514 0.707071
0.0623605 0.808081
0.0559021 0.909091
0.0489338 1.0101
0.0415179 1.11111
0.0337216 1.21212
0.0256155 1.31313
0.0172739 1.41414
0.00877312 1.51515
0.000191526 1.61616
-0.00839183 1.71717
-0.0168979 1.81818
-0.0252482 1.91919
-0.0333664 2.0202
-0.0411781 2.12121
-0.0486123 2.22222
-0.055602 2.32323
-0.0620843 2.42424
-0.0680017 2.52525
-0.0733018 2.62626
-0.0779383 2.72727
-0.0818708 2.82828
-0.0850654 2.92929
-0.0874947 3.0303
-0.089138 3.13131
-0.0899812 3.23232
-0.0900172 3.33333
-0.0892458 3.43434
-0.0876734 3.53535
-0.0853134 3.63636
-0.082186 3.73737
-0.0783179 3.83838
-0.0737426 3.93939
-0.0684999 4.0404
-0.0626355 4.14141
-0.0562012 4.24242
-0.0492543 4.34343
-0.041857 4.44444
-0.0340761 4.54545
-0.0259823 4.64646
-0.0176496 4.74747
-0.00915425 4.84848
-0.000574576 4.94949
0.00801039 5.05051
0.0165215 5.15152
0.0248805 5.25253
0.0330106 5.35354
0.0408375 5.45455
0.04829 5.55556
0.0553008 5.65657
0.0618071 5.75758
0.0677508 5.85859
0.0730794 5.9596
0.0777464 6.06061
0.0817111 6.16162
0.0849392 6.26263
0.0874031 6.36364
0.0890817 6.46465
0.0899608 6.56566
0.0900328 6.66667
0.0892973 6.76768
0.0877603 6.86869
0.0854351 6.9697
0.0823413 7.07071
0.0785056 7.17172
0.0739611 7.27273
0.0687471 7.37374
0.0629093 7.47475
0.0564993 7.57576
0.0495739 7.67677
0.0421953 7.77778
0.0344301 7.87879
0.0263487 7.9798
0.0180249 8.08081
0.00953521 8.18182
0.000957615 8.28283
-0.0076288 8.38384
-0.0161449 8.48485
-0.0245123 8.58586
-0.0326542 8.68687
-0.0404962 8.78788
-0.0479668 8.88889
-0.0549987 8.9899
-0.0615287 9.09091
-0.0674986 9.19192
-0.0728557 9.29293
-0.0775531 9.39394
-0.0815498 9.49495
-0.0848114 9.59596
-0.0873099 9.69697
-0.0890238 9.79798
-0.0899387 9.89899
-0.0900468 10
