x t
0 0
0 0.01001
0.000905425 0.02002
0.00181085 0.03003
0.0027162 0.04004
0.00362138 0.0500501
0.00452633 0.0600601
0.00543095 0.0700701
0.00633518 0.0800801
0.00723893 0.0900901
0.00814212 0.1001
0.00904467 0.11011
0.00994651 0.12012
0.0108475 0.13013
0.0117477 0.14014
0.0126469 0.15015
0.0135451 0.16016
0.0144421 0.17017
0.015338 0.18018
0.0162326 0.19019
0.0171258 0.2002
0.0180176 0.21021
0.0189079 0.22022
0.0197966 0.23023
0.0206837 0.24024
0.021569 0.25025
0.0224524 0.26026
0.023334 0.27027
0.0242136 0.28028
0.0250911 0.29029
0.0259665 0.3003
0.0268397 0.31031
0.0277106 0.32032
0.0285791 0.33033
0.0294452 0.34034
0.0303087 0.35035
0.0311697 0.36036
0.032028 0.37037
0.0328835 0.38038
0.0337362 0.39039
0.034586 0.4004
0.0354329 0.41041
0.0362766 0.42042
0.0371173 0.43043
0.0379547 0.44044
0.0387889 0.45045
0.0396197 0.46046
0.0404471 0.47047
0.041271 0.48048
0.0420914 0.49049
0.0429081 0.500501
0.043721 0.510511
0.0445302 0.520521
0.0453355 0.530531
0.0461369 0.540541
0.0469343 0.550551
0.0477276 0.560561
0.0485168 0.570571
0.0493017 0.580581
0.0500824 0.590591
0.0508587 0.600601
0.0516306 0.610611
0.052398 0.620621
0.0531608 0.630631
0.053919 0.640641
0.0546725 0.650651
0.0554212 0.660661
0.0561651 0.670671
0.0569041 0.680681
0.0576381 0.690691
0.0583671 0.700701
0.059091 0.710711
0.0598097 0.720721
0.0605233 0.730731
0.0612315 0.740741
0.0619343 0.750751
0.0626318 0.760761
0.0633238 0.770771
0.0640102 0.780781
0.064691 0.790791
0.0653662 0.800801
0.0660356 0.810811
0.0666993 0.820821
0.0673571 0.830831
0.068009 0.840841
0.0686549 0.850851
0.0692948 0.860861
0.0699286 0.870871
0.0705563 0.880881
0.0711778 0.890891
0.0717931 0.900901
0.072402 0.910911
0.0730046 0.920921
0.0736008 0.930931
0.0741905 0.940941
0.0747737 0.950951
0.0753503 0.960961
0.0759203 0.970971
0.0764836 0.980981
0.0770401 0.990991
0.0775899 1.001
0.0781329 1.01101
0.078669 1.02102
0.0791981 1.03103
0.0797203 1.04104
0.0802354 1.05105
0.0807435 1.06106
0.0812445 1.07107
0.0817383 1.08108
0.0822249 1.09109
0.0827042 1.1011
0.0831763 1.11111
0.083641 1.12112
0.0840983 1.13113
0.0845482 1.14114
0.0849906 1.15115
0.0854255 1.16116
0.0858529 1.17117
0.0862727 1.18118
0.0866849 1.19119
0.0870894 1.2012
0.0874863 1.21121
0.0878753 1.22122
0.0882567 1.23123
0.0886302 1.24124
0.0889958 1.25125
0.0893536 1.26126
0.0897035 1.27127
0.0900455 1.28128
0.0903795 1.29129
0.0907055 1.3013
0.0910234 1.31131
0.0913333 1.32132
0.0916351 1.33133
0.0919288 1.34134
0.0922144 1.35135
0.0924917 1.36136
0.0927609 1.37137
0.0930219 1.38138
0.0932746 1.39139
0.093519 1.4014
0.0937552 1.41141
0.093983 1.42142
0.0942025 1.43143
0.0944137 1.44144
0.0946164 1.45145
0.0948108 1.46146
0.0949968 1.47147
0.0951743 1.48148
0.0953434 1.49149
0.095504 1.5015
0.0956561 1.51151
0.0957998 1.52152
0.0959349 1.53153
0.0960615 1.54154
0.0961796 1.55155
0.0962891 1.56156
0.0963901 1.57157
0.0964825 1.58158
0.0965663 1.59159
0.0966416 1.6016
0.0967083 1.61161
0.0967663 1.62162
0.0968158 1.63163
0.0968567 1.64164
0.0968889 1.65165
0.0969125 1.66166
0.0969275 1.67167
0.0969339 1.68168
0.0969317 1.69169
0.0969208 1.7017
0.0969014 1.71171
0.0968733 1.72172
0.0968365 1.73173
0.0967912 1.74174
0.0967372 1.75175
0.0966747 1.76176
0.0966035 1.77177
0.0965237 1.78178
0.0964353 1.79179
0.0963384 1.8018
0.0962329 1.81181
0.0961188 1.82182
0.0959961 1.83183
0.0958649 1.84184
0.0957251 1.85185
0.0955769 1.86186
0.0954201 1.87187
0.0952548 1.88188
0.095081 1.89189
0.0948987 1.9019
0.094708 1.91191
0.0945089 1.92192
0.0943013 1.93193
0.0940854 1.94194
0.093861 1.95195
0.0936283 1.96196
0.0933872 1.97197
0.0931378 1.98198
0.0928801 1.99199
0.0926142 2.002
0.0923399 2.01201
0.0920575 2.02202
0.0917668 2.03203
0.0914679 2.04204
0.0911609 2.05205
0.0908458 2.06206
0.0905226 2.07207
0.0901912 2.08208
0.0898519 2.09209
0.0895045 2.1021
0.0891492 2.11211
0.0887859 2.12212
0.0884146 2.13213
0.0880355 2.14214
0.0876486 2.15215
0.0872538 2.16216
