x t
0 0
0 0.0010001
9.0054e-05 0.0020002
0.000180108 0.0030003
0.000270162 0.0040004
0.000360216 0.0050005
0.000450269 0.0060006
0.000540323 0.0070007
0.000630375 0.0080008
0.000720428 0.0090009
0.00081048 0.010001
0.000900531 0.0110011
0.000990581 0.0120012
0.00108063 0.0130013
0.00117068 0.0140014
0.00126073 0.0150015
0.00135077 0.0160016
0.00144082 0.0170017
0.00153086 0.0180018
0.00162091 0.0190019
0.00171095 0.020002
0.00180099 0.0210021
0.00189103 0.0220022
0.00198107 0.0230023
0.0020711 0.0240024
0.00216114 0.0250025
0.00225117 0.0260026
0.0023412 0.0270027
0.00243123 0.0280028
0.00252125 0.0290029
0.00261128 0.030003
0.0027013 0.0310031
0.00279132 0.0320032
0.00288134 0.0330033
0.00297135 0.0340034
0.00306136 0.0350035
0.00315137 0.0360036
0.00324138 0.0370037
0.00333138 0.0380038
0.00342138 0.0390039
0.00351138 0.040004
0.00360138 0.0410041
0.00369137 0.0420042
0.00378136 0.0430043
0.00387135 0.0440044
0.00396133 0.0450045
0.00405131 0.0460046
0.00414128 0.0470047
0.00423126 0.0480048
0.00432122 0.0490049
0.00441119 0.050005
0.00450115 0.0510051
0.00459111 0.0520052
0.00468106 0.0530053
0.00477101 0.0540054
0.00486095 0.0550055
0.00495089 0.0560056
0.00504083 0.0570057
0.00513076 0.0580058
0.00522069 0.0590059
0.00531061 0.060006
0.00540053 0.0610061
0.00549045 0.0620062
0.00558036 0.0630063
0.00567026 0.0640064
0.00576016 0.0650065
0.00585005 0.0660066
0.00593994 0.0670067
0.00602983 0.0680068
0.00611971 0.0690069
0.00620958 0.070007
0.00629945 0.0710071
0.00638931 0.0720072
0.00647917 0.0730073
0.00656902 0.0740074
0.00665887 0.0750075
0.00674871 0.0760076
0.00683854 0.0770077
0.00692837 0.0780078
0.00701819 0.0790079
0.00710801 0.080008
0.00719782 0.0810081
0.00728762 0.0820082
0.00737742 0.0830083
0.00746721 0.0840084
0.00755699 0.0850085
0.00764677 0.0860086
0.00773654 0.0870087
0.00782631 0.0880088
0.00791607 0.0890089
0.00800582 0.090009
0.00809556 0.0910091
0.0081853 0.0920092
0.00827503 0.0930093
0.00836475 0.0940094
0.00845447 0.0950095
0.00854418 0.0960096
0.00863388 0.0970097
0.00872357 0.0980098
0.00881325 0.0990099
0.00890293 0.10001
0.0089926 0.10101
0.00908226 0.10201
0.00917192 0.10301
0.00926157 0.10401
0.0093512 0.105011
0.00944083 0.106011
0.00953046 0.107011
0.00962007 0.108011
0.00970968 0.109011
0.00979927 0.110011
0.00988886 0.111011
0.00997844 0.112011
0.010068 0.113011
0.0101576 0.114011
0.0102471 0.115012
0.0103367 0.116012
0.0104262 0.117012
0.0105157 0.118012
0.0106052 0.119012
0.0106948 0.120012
0.0107843 0.121012
0.0108737 0.122012
0.0109632 0.123012
0.0110527 0.124012
0.0111422 0.125013
0.0112316 0.126013
0.011321 0.127013
0.0114105 0.128013
0.0114999 0.129013
0.0115893 0.130013
0.0116787 0.131013
0.0117681 0.132013
0.0118575 0.133013
0.0119469 0.134013
0.0120362 0.135014
0.0121256 0.136014
0.0122149 0.137014
0.0123042 0.138014
0.0123935 0.139014
0.0124829 0.140014
0.0125721 0.141014
0.0126614 0.142014
0.0127507 0.143014
0.01284 0.144014
0.0129292 0.145015
0.0130185 0.146015
0.0131077 0.147015
0.0131969 0.148015
0.0132861 0.149015
0.0133753 0.150015
0.0134645 0.151015
0.0135537 0.152015
0.0136428 0.153015
0.013732 0.154015
0.0138211 0.155016
0.0139102 0.156016
0.0139993 0.157016
0.0140884 0.158016
0.0141775 0.159016
0.0142666 0.160016
0.0143556 0.161016
0.0144447 0.162016
0.0145337 0.163016
0.0146228 0.164016
0.0147118 0.165017
0.0148008 0.166017
0.0148897 0.167017
0.0149787 0.168017
0.0150677 0.169017
0.0151566 0.170017
0.0152456 0.171017
0.0153345 0.172017
0.0154234 0.173017
0.0155123 0.174017
0.0156011 0.175018
0.01569 0.176018
0.0157789 0.177018
0.0158677 0.178018
0.0159565 0.179018
0.0160453 0.180018
0.0161341 0.181018
0.0162229 0.182018
0.0163117 0.183018
0.0164004 0.184018
0.0164892 0.185019
0.0165779 0.186019
0.0166666 0.187019
0.0167553 0.188019
0.016844 0.189019
0.0169326 0.190019
0.0170213 0.191019
0.0171099 0.192019
0.0171985 0.193019
0.0172872 0.194019
0.0173757 0.19502
0.0174643 0.19602
0.0175529 0.19702
0.0176414 0.19802
0.01773 0.19902
0.0178185 0.20002
0.017907 0.20102
0.0179954 0.20202
0.0180839 0.20302
0.0181724 0.20402
0.0182608 0.205021
0.0183492 0.206021
0.0184376 0.207021
0.018526 0.208021
0.0186144 0.209021
0.0187027 0.210021
0.0187911 0.211021
0.0188794 0.212021
0.0189677 0.213021
0.019056 0.214021
0.0191443 0.215022
0.0192325 0.216022
0.0193207 0.217022
0.019409 0.218022
0.0194972 0.219022
0.0195854 0.220022
0.0196735 0.221022
0.0197617 0.222022
0.0198498 0.223022
0.0199379 0.224022
0.020026 0.225023
0.0201141 0.226023
0.0202022 0.227023
0.0202902 0.228023
0.0203783 0.229023
0.0204663 0.230023
0.0205543 0.231023
0.0206422 0.232023
0.0207302 0.233023
0.0208181 0.234023
0.0209061 0.235024
0.020994 0.236024
0.0210819 0.237024
0.0211697 0.238024
0.0212576 0.239024
