x t
0 0
0.000900901 0.01001
0.0018018 0.02002
0.00270241 0.03003
0.00360269 0.04004
0.00450258 0.0500501
0.00540199 0.0600601
0.00630085 0.0700701
0.00719908 0.0800801
0.00809659 0.0900901
0.00899331 0.1001
0.00988915 0.11011
0.010784 0.12012
0.0116779 0.13013
0.0125707 0.14014
0.0134623 0.15015
0.0143526 0.16016
0.0152415 0.17017
0.0161291 0.18018
0.0170151 0.19019
0.0178996 0.2002
0.0187824 0.21021
0.0196635 0.22022
0.0205428 0.23023
0.0214201 0.24024
0.0222956 0.25025
0.0231689 0.26026
0.0240402 0.27027
0.0249092 0.28028
0.025776 0.29029
0.0266405 0.3003
0.0275025 0.31031
0.028362 0.32032
0.0292189 0.33033
0.0300732 0.34034
0.0309248 0.35035
0.0317735 0.36036
0.0326194 0.37037
0.0334624 0.38038
0.0343023 0.39039
0.0351391 0.4004
0.0359727 0.41041
0.0368031 0.42042
0.0376302 0.43043
0.0384538 0.44044
0.039274 0.45045
0.0400907 0.46046
0.0409038 0.47047
0.0417131 0.48048
0.0425188 0.49049
0.0433206 0.500501
0.0441185 0.510511
0.0449124 0.520521
0.0457024 0.530531
0.0464882 0.540541
0.0472698 0.550551
0.0480472 0.560561
0.0488203 0.570571
0.049589 0.580581
0.0503532 0.590591
0.051113 0.600601
0.0518681 0.610611
0.0526186 0.620621
0.0533644 0.630631
0.0541054 0.640641
0.0548416 0.650651
0.0555729 0.660661
0.0562991 0.670671
0.0570204 0.680681
0.0577365 0.690691
0.0584475 0.700701
0.0591533 0.710711
0.0598537 0.720721
0.0605488 0.730731
0.0612385 0.740741
0.0619227 0.750751
0.0626014 0.760761
0.0632744 0.770771
0.0639419 0.780781
0.0646036 0.790791
0.0652595 0.800801
0.0659096 0.810811
0.0665538 0.820821
0.0671921 0.830831
0.0678243 0.840841
0.0684505 0.850851
0.0690706 0.860861
0.0696845 0.870871
0.0702922 0.880881
0.0708937 0.890891
0.0714888 0.900901
0.0720775 0.910911
0.0726597 0.920921
0.0732355 0.930931
0.0738048 0.940941
0.0743674 0.950951
0.0749235 0.960961
0.0754728 0.970971
0.0760154 0.980981
0.0765512 0.990991
0.0770802 1.001
0.0776023 1.01101
0.0781175 1.02102
0.0786257 1.03103
0.0791269 1.04104
0.0796211 1.05105
0.0801081 1.06106
0.080588 1.07107
0.0810607 1.08108
0.0815262 1.09109
0.0819844 1.1011
0.0824353 1.11111
0.0828789 1.12112
0.083315 1.13113
0.0837437 1.14114
0.084165 1.15115
0.0845788 1.16116
0.084985 1.17117
0.0853836 1.18118
0.0857746 1.19119
0.086158 1.2012
0.0865337 1.21121
0.0869017 1.22122
0.0872619 1.23123
0.0876144 1.24124
0.087959 1.25125
0.0882958 1.26126
0.0886248 1.27127
0.0889458 1.28128
0.089259 1.29129
0.0895641 1.3013
0.0898613 1.31131
0.0901505 1.32132
0.0904316 1.33133
0.0907047 1.34134
0.0909697 1.35135
0.0912266 1.36136
0.0914754 1.37137
0.091716 1.38138
0.0919485 1.39139
0.0921728 1.4014
0.0923888 1.41141
0.0925967 1.42142
0.0927963 1.43143
0.0929876 1.44144
0.0931707 1.45145
0.0933454 1.46146
0.0935119 1.47147
0.09367 1.48148
0.0938198 1.49149
0.0939612 1.5015
0.0940943 1.51151
0.0942189 1.52152
0.0943353 1.53153
0.0944432 1.54154
0.0945427 1.55155
0.0946338 1.56156
0.0947165 1.57157
0.0947907 1.58158
0.0948565 1.59159
0.0949139 1.6016
0.0949629 1.61161
0.0950034 1.62162
0.0950354 1.63163
0.095059 1.64164
0.0950742 1.65165
0.0950809 1.66166
0.0950791 1.67167
0.0950689 1.68168
0.0950503 1.69169
0.0950231 1.7017
0.0949876 1.71171
0.0949436 1.72172
0.0948912 1.73173
0.0948303 1.74174
0.0947611 1.75175
0.0946834 1.76176
0.0945973 1.77177
0.0945028 1.78178
0.0943999 1.79179
0.0942886 1.8018
0.094169 1.81181
0.094041 1.82182
0.0939047 1.83183
0.09376 1.84184
0.093607 1.85185
0.0934457 1.86186
0.0932761 1.87187
0.0930982 1.88188
0.0929121 1.89189
0.0927178 1.9019
0.0925152 1.91191
0.0923044 1.92192
0.0920855 1.93193
0.0918584 1.94194
0.0916231 1.95195
0.0913797 1.96196
0.0911283 1.97197
0.0908687 1.98198
0.0906011 1.99199
0.0903255 2.002
0.0900419 2.01201
0.0897503 2.02202
0.0894508 2.03203
0.0891434 2.04204
0.0888281 2.05205
0.0885049 2.06206
0.0881739 2.07207
0.0878351 2.08208
0.0874885 2.09209
0.0871342 2.1021
0.0867722 2.11211
0.0864025 2.12212
0.0860252 2.13213
0.0856403 2.14214
0.0852478 2.15215
0.0848478 2.16216
0.0844403 2.17217
