v t
0.09 0
0.09 0.10101
0.087981 0.20202
0.085194 0.30303
0.0816668 0.40404
0.0774364 0.505051
0.0725458 0.606061
0.0670436 0.707071
0.0609838 0.808081
0.0544251 0.909091
0.0474307 1.0101
0.0400675 1.11111
0.0324053 1.21212
0.0245168 1.31313
0.0164761 1.41414
0.00835808 1.51515
0.000238027 1.61616
-0.00780958 1.71717
-0.0157117 1.81818
-0.0233974 1.91919
-0.0307988 2.0202
-0.0378513 2.12121
-0.0444947 2.22222
-0.0506731 2.32323
-0.0563358 2.42424
-0.0614374 2.52525
-0.0659382 2.62626
-0.0698043 2.72727
-0.0730079 2.82828
-0.0755274 2.92929
-0.0773471 3.0303
-0.0784578 3.13131
-0.0788563 3.23232
-0.0785456 3.33333
-0.0775347 3.43434
-0.0758386 3.53535
-0.0734781 3.63636
-0.0704794 3.73737
-0.0668744 3.83838
-0.0627 3.93939
-0.0579981 4.0404
-0.0528148 4.14141
-0.0472006 4.24242
-0.0412096 4.34343
-0.0348989 4.44444
-0.0283285 4.54545
-0.0215601 4.64646
-0.0146572 4.74747
-0.00768369 4.84848
-0.000703852 4.94949
0.00621865 5.05051
0.0130213 5.15152
0.0196434 5.25253
0.0260264 5.35354
0.032115 5.45455
0.037857 5.55556
0.0432041 5.65657
0.0481123 5.75758
0.0525418 5.85859
0.0564581 5.9596
0.0598312 6.06061
0.0626366 6.16162
0.0648549 6.26263
0.0664721 6.36364
0.0674795 6.46465
0.0678739 6.56566
0.0676575 6.66667
0.0668374 6.76768
0.0654263 6.86869
0.0634418 6.9697
0.0609063 7.07071
0.0578469 7.17172
0.0542952 7.27273
0.050287 7.37374
0.0458619 7.47475
0.0410631 7.57576
0.0359367 7.67677
0.0305318 7.77778
0.0248995 7.87879
0.0190928 7.9798
0.0131656 8.08081
0.00717297 8.18182
0.0011697 8.28283
-0.0047896 8.38384
-0.0106513 8.48485
-0.0163632 8.58586
-0.0218751 8.68687
-0.027139 8.78788
-0.0321099 8.88889
-0.036746 8.9899
-0.0410088 9.09091
-0.0448638 9.19192
-0.0482806 9.29293
-0.0512328 9.39394
-0.0536987 9.49495
-0.055661 9.59596
-0.057107 9.69697
-0.0580287 9.79798
-0.0584227 9.89899
-0.0582904 10
