x t
0 0
9.0009e-05 0.0010001
0.000180018 0.0020002
0.000270027 0.0030003
0.000360035 0.0040004
0.000450043 0.0050005
0.000540051 0.0060006
0.000630059 0.0070007
0.000720065 0.0080008
0.000810072 0.0090009
0.000900077 0.010001
0.000990082 0.0110011
0.00108009 0.0120012
0.00117009 0.0130013
0.00126009 0.0140014
0.00135009 0.0150015
0.00144009 0.0160016
0.00153009 0.0170017
0.00162009 0.0180018
0.00171008 0.0190019
0.00180007 0.020002
0.00189007 0.0210021
0.00198006 0.0220022
0.00207005 0.0230023
0.00216003 0.0240024
0.00225002 0.0250025
0.00234 0.0260026
0.00242998 0.0270027
0.00251996 0.0280028
0.00260994 0.0290029
0.00269991 0.030003
0.00278989 0.0310031
0.00287986 0.0320032
0.00296982 0.0330033
0.00305979 0.0340034
0.00314975 0.0350035
0.00323971 0.0360036
0.00332967 0.0370037
0.00341962 0.0380038
0.00350957 0.0390039
0.00359952 0.040004
0.00368946 0.0410041
0.0037794 0.0420042
0.00386934 0.0430043
0.00395927 0.0440044
0.0040492 0.0450045
0.00413913 0.0460046
0.00422905 0.0470047
0.00431897 0.0480048
0.00440889 0.0490049
0.0044988 0.050005
0.00458871 0.0510051
0.00467861 0.0520052
0.00476851 0.0530053
0.00485841 0.0540054
0.0049483 0.0550055
0.00503819 0.0560056
0.00512807 0.0570057
0.00521795 0.0580058
0.00530782 0.0590059
0.00539769 0.060006
0.00548756 0.0610061
0.00557742 0.0620062
0.00566727 0.0630063
0.00575712 0.0640064
0.00584696 0.0650065
0.0059368 0.0660066
0.00602664 0.0670067
0.00611647 0.0680068
0.00620629 0.0690069
0.00629611 0.070007
0.00638592 0.0710071
0.00647573 0.0720072
0.00656553 0.0730073
0.00665532 0.0740074
0.00674511 0.0750075
0.0068349 0.0760076
0.00692467 0.0770077
0.00701444 0.0780078
0.00710421 0.0790079
0.00719397 0.080008
0.00728372 0.0810081
0.00737347 0.0820082
0.00746321 0.0830083
0.00755294 0.0840084
0.00764267 0.0850085
0.00773239 0.0860086
0.0078221 0.0870087
0.00791181 0.0880088
0.00800151 0.0890089
0.0080912 0.090009
0.00818088 0.0910091
0.00827056 0.0920092
0.00836023 0.0930093
0.0084499 0.0940094
0.00853955 0.0950095
0.0086292 0.0960096
0.00871884 0.0970097
0.00880847 0.0980098
0.0088981 0.0990099
0.00898772 0.10001
0.00907733 0.10101
0.00916693 0.10201
0.00925652 0.10301
0.00934611 0.10401
0.00943568 0.105011
0.00952525 0.106011
0.00961481 0.107011
0.00970436 0.108011
0.00979391 0.109011
0.00988344 0.110011
0.00997297 0.111011
0.0100625 0.112011
0.010152 0.113011
0.0102415 0.114011
0.010331 0.115012
0.0104205 0.116012
0.0105099 0.117012
0.0105994 0.118012
0.0106889 0.119012
0.0107783 0.120012
0.0108677 0.121012
0.0109572 0.122012
0.0110466 0.123012
0.011136 0.124012
0.0112254 0.125013
0.0113148 0.126013
0.0114041 0.127013
0.0114935 0.128013
0.0115829 0.129013
0.0116722 0.130013
0.0117615 0.131013
0.0118509 0.132013
0.0119402 0.133013
0.0120295 0.134013
0.0121188 0.135014
0.0122081 0.136014
0.0122973 0.137014
0.0123866 0.138014
0.0124759 0.139014
0.0125651 0.140014
0.0126543 0.141014
0.0127435 0.142014
0.0128327 0.143014
0.0129219 0.144014
0.0130111 0.145015
0.0131003 0.146015
0.0131895 0.147015
0.0132786 0.148015
0.0133677 0.149015
0.0134569 0.150015
0.013546 0.151015
0.0136351 0.152015
0.0137242 0.153015
0.0138133 0.154015
0.0139023 0.155016
0.0139914 0.156016
0.0140804 0.157016
0.0141694 0.158016
0.0142585 0.159016
0.0143475 0.160016
0.0144365 0.161016
0.0145254 0.162016
0.0146144 0.163016
0.0147034 0.164016
0.0147923 0.165017
0.0148812 0.166017
0.0149701 0.167017
0.015059 0.168017
0.0151479 0.169017
0.0152368 0.170017
0.0153257 0.171017
0.0154145 0.172017
0.0155033 0.173017
0.0155922 0.174017
0.015681 0.175018
0.0157698 0.176018
0.0158585 0.177018
0.0159473 0.178018
0.0160361 0.179018
0.0161248 0.180018
0.0162135 0.181018
0.0163022 0.182018
0.0163909 0.183018
0.0164796 0.184018
0.0165683 0.185019
0.0166569 0.186019
