x t
0 0
0.00909091 0.10101
0.0181003 0.20202
0.0269472 0.30303
0.0355523 0.40404
0.0438381 0.505051
0.0517299 0.606061
0.0591564 0.707071
0.0660505 0.808081
0.0723495 0.909091
0.0779962 1.0101
0.082939 1.11111
0.0871327 1.21212
0.090539 1.31313
0.0931264 1.41414
0.0948712 1.51515
0.0957574 1.61616
0.0957767 1.71717
0.0949291 1.81818
0.0932222 1.91919
0.0906719 2.0202
0.0873016 2.12121
0.0831422 2.22222
0.0782318 2.32323
0.0726155 2.42424
0.0663443 2.52525
0.0594755 2.62626
0.0520712 2.72727
0.0441987 2.82828
0.0359289 2.92929
0.0273364 3.0303
0.0184986 3.13131
0.00949473 3.23232
0.000405726 3.33333
-0.00868692 3.43434
-0.0177016 3.53535
-0.0265575 3.63636
-0.0351751 3.73737
-0.0434767 3.83838
-0.0513876 3.93939
-0.0588363 4.0404
-0.0657555 4.14141
-0.0720823 4.24242
-0.0777592 4.34343
-0.0827344 4.44444
-0.0869624 4.54545
-0.0904044 4.64646
-0.0930289 4.74747
-0.0948117 4.84848
-0.0957363 4.94949
-0.0957944 5.05051
-0.0949852 5.15152
-0.0933164 5.25253
-0.0908032 5.35354
-0.0874688 5.45455
-0.0833438 5.55556
-0.078466 5.65657
-0.0728801 5.75758
-0.0666369 5.85859
-0.0597934 5.9596
-0.0524117 6.06061
-0.0445585 6.16162
-0.0363049 6.26263
-0.0277251 6.36364
-0.0188965 6.46465
-0.00989839 6.56566
-0.000811446 6.66667
0.00828278 6.76768
0.0173027 6.86869
0.0261674 6.9697
0.0347972 7.07071
0.0431145 7.17172
0.0510444 7.27273
0.0585152 7.37374
0.0654593 7.47475
0.0718138 7.57576
0.0775208 7.67677
0.0825283 7.77778
0.0867904 7.87879
0.0902682 7.9798
0.0929297 8.08081
0.0947504 8.18182
0.0957135 8.28283
0.0958103 8.38384
0.0950397 8.48485
0.0934089 8.58586
0.0909329 8.68687
0.0876345 8.78788
0.083544 8.88889
0.0786988 8.9899
0.0731434 9.09091
0.0669284 9.19192
0.0601103 9.29293
0.0527512 9.39394
0.0449175 9.49495
0.0366802 9.59596
0.0281134 9.69697
0.0192942 9.79798
0.0103019 9.89899
0.00121715 10
