v t
0.09 0
0.09 0.01001
0.0899802 0.02002
0.0899524 0.03003
0.0899168 0.04004
0.0898732 0.0500501
0.0898217 0.0600601
0.0897623 0.0700701
0.089695 0.0800801
0.0896198 0.0900901
0.0895367 0.1001
0.0894457 0.11011
0.0893469 0.12012
0.0892401 0.13013
0.0891256 0.14014
0.0890032 0.15015
0.0888729 0.16016
0.0887348 0.17017
0.088589 0.18018
0.0884353 0.19019
0.0882738 0.2002
0.0881046 0.21021
0.0879276 0.22022
0.0877429 0.23023
0.0875504 0.24024
0.0873503 0.25025
0.0871424 0.26026
0.0869269 0.27027
0.0867037 0.28028
0.0864729 0.29029
0.0862345 0.3003
0.0859885 0.31031
0.0857349 0.32032
0.0854738 0.33033
0.0852052 0.34034
0.084929 0.35035
0.0846454 0.36036
0.0843543 0.37037
0.0840558 0.38038
0.0837498 0.39039
0.0834365 0.4004
0.0831159 0.41041
0.0827879 0.42042
0.0824526 0.43043
0.0821101 0.44044
0.0817603 0.45045
0.0814034 0.46046
0.0810392 0.47047
0.0806679 0.48048
0.0802895 0.49049
0.079904 0.500501
0.0795115 0.510511
0.0791119 0.520521
0.0787054 0.530531
0.078292 0.540541
0.0778716 0.550551
0.0774444 0.560561
0.0770103 0.570571
0.0765694 0.580581
0.0761218 0.590591
0.0756675 0.600601
0.0752064 0.610611
0.0747388 0.620621
0.0742645 0.630631
0.0737837 0.640641
0.0732964 0.650651
0.0728026 0.660661
0.0723024 0.670671
0.0717957 0.680681
0.0712828 0.690691
0.0707635 0.700701
0.070238 0.710711
0.0697063 0.720721
0.0691684 0.730731
0.0686244 0.740741
0.0680744 0.750751
0.0675183 0.760761
0.0669562 0.770771
0.0663883 0.780781
0.0658144 0.790791
0.0652348 0.800801
0.0646493 0.810811
0.0640582 0.820821
0.0634614 0.830831
0.062859 0.840841
0.062251 0.850851
0.0616375 0.860861
0.0610185 0.870871
0.0603942 0.880881
0.0597645 0.890891
0.0591295 0.900901
0.0584893 0.910911
0.0578439 0.920921
0.0571934 0.930931
0.0565378 0.940941
0.0558772 0.950951
0.0552117 0.960961
0.0545413 0.970971
0.053866 0.980981
0.053186 0.990991
0.0525013 1.001
0.0518119 1.01101
0.051118 1.02102
0.0504195 1.03103
0.0497166 1.04104
0.0490092 1.05105
0.0482976 1.06106
0.0475816 1.07107
0.0468615 1.08108
0.0461372 1.09109
0.0454088 1.1011
0.0446764 1.11111
0.04394 1.12112
0.0431998 1.13113
0.0424557 1.14114
0.0417079 1.15115
0.0409564 1.16116
0.0402013 1.17117
0.0394426 1.18118
0.0386805 1.19119
0.0379149 1.2012
0.037146 1.21121
0.0363738 1.22122
0.0355984 1.23123
0.0348199 1.24124
0.0340383 1.25125
0.0332537 1.26126
0.0324661 1.27127
0.0316758 1.28128
0.0308826 1.29129
0.0300867 1.3013
0.0292882 1.31131
0.0284871 1.32132
0.0276835 1.33133
0.0268774 1.34134
0.0260691 1.35135
0.0252584 1.36136
0.0244455 1.37137
0.0236305 1.38138
0.0228134 1.39139
0.0219944 1.4014
0.0211734 1.41141
0.0203506 1.42142
0.019526 1.43143
0.0186998 1.44144
0.0178719 1.45145
0.0170425 1.46146
0.0162116 1.47147
0.0153793 1.48148
0.0145457 1.49149
0.0137109 1.5015
0.0128749 1.51151
0.0120378 1.52152
