x t
0 0
0 0.10101
0.0095659 0.20202
0.0191318 0.30303
0.0286113 0.40404
0.0379179 0.505051
0.046966 0.606061
0.0556712 0.707071
0.0639514 0.808081
0.0717274 0.909091
0.0789238 1.0101
0.0854695 1.11111
0.0912984 1.21212
0.0963505 1.31313
0.100572 1.41414
0.103916 1.51515
0.106344 1.61616
0.107825 1.71717
0.108335 1.81818
0.107862 1.91919
0.1064 2.0202
0.103954 2.12121
0.100537 2.22222
0.0961731 2.32323
0.0908928 2.42424
0.0847368 2.52525
0.077754 2.62626
0.0700011 2.72727
0.0615422 2.82828
0.0524484 2.92929
0.0427969 3.0303
0.0326706 3.13131
0.0221572 3.23232
0.0113484 3.33333
0.000339415 3.43434
-0.0107721 3.53535
-0.0218866 3.63636
-0.0329038 3.73737
-0.0437233 3.83838
-0.0542454 3.93939
-0.0643719 4.0404
-0.0740072 4.14141
-0.083059 4.24242
-0.0914393 4.34343
-0.0990648 4.44444
-0.105858 4.54545
-0.11175 4.64646
-0.116675 4.74747
-0.120581 4.84848
-0.12342 4.94949
-0.125156 5.05051
-0.125762 5.15152
-0.125223 5.25253
-0.123532 5.35354
-0.120694 5.45455
-0.116726 5.55556
-0.111654 5.65657
-0.105514 5.75758
-0.0983558 5.85859
-0.0902349 5.9596
-0.0812181 6.06061
-0.0713806 6.16162
-0.0608053 6.26263
-0.0495824 6.36364
-0.0378086 6.46465
-0.0255861 6.56566
-0.0130216 6.66667
-0.000225939 6.76768
0.0126873 6.86869
0.0256027 6.9697
0.0384034 7.07071
0.0509728 7.17172
0.0631948 7.27273
0.0749555 7.37374
0.0861434 7.47475
0.0966511 7.57576
0.106376 7.67677
0.11522 7.77778
0.123094 7.87879
0.129916 7.9798
0.135611 8.08081
0.140115 8.18182
0.143374 8.28283
0.145347 8.38384
0.146 8.48485
0.145317 8.58586
0.14329 8.68687
0.139927 8.78788
0.135246 8.88889
0.129279 8.9899
0.122071 9.09091
0.113678 9.19192
0.104169 9.29293
0.0936207 9.39394
0.082123 9.49495
0.0697733 9.59596
0.0566774 9.69697
0.0429488 9.79798
0.0287068 9.89899
0.0140762 10
-0.000813718 10.101
